0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
0.399521, 1.34139, 0.389771, 0.380813, 0.390166, 0.390211, 0.390165, 0.390164, 0.390165, 0.390211, 
1.03276, 1.85357, 0.967582, 0.919093, 0.97602, 0.977635, 0.975789, 0.975754, 0.975834, 0.977641, 
1.70375, 2.36304, 1.51958, 1.42263, 1.5652, 1.57435, 1.56184, 1.56133, 1.56276, 1.5745, 
2.39, 2.84423, 2.00472, 1.89035, 2.15422, 2.17842, 2.13271, 2.13031, 2.1403, 2.17996, 
3.0287, 3.23456, 2.37171, 2.31573, 2.72659, 2.75976, 2.64339, 2.63998, 2.67954, 2.76832, 
3.43834, 3.43527, 2.5672, 2.61648, 3.14316, 3.1608, 2.96288, 2.967, 3.05215, 3.18414, 
3.77684, 3.5522, 2.72083, 2.92667, 3.56559, 3.52943, 3.22547, 3.25722, 3.41469, 3.58328, 
4.03176, 3.58805, 2.86776, 3.27879, 4.01556, 3.86159, 3.43089, 3.5314, 3.79364, 3.97299, 
4.15472, 3.56382, 3.01147, 3.61847, 4.4065, 4.08542, 3.55018, 3.75868, 4.12973, 4.2738, 
4.17573, 3.50939, 3.21099, 4.03154, 4.81555, 4.23743, 3.62541, 4.01358, 4.50714, 4.53945, 
4.09841, 3.46778, 3.44318, 4.43927, 5.14207, 4.27491, 3.66022, 4.26414, 4.85146, 4.69838, 
3.93706, 3.46383, 3.75238, 4.90031, 5.4115, 4.20499, 3.68879, 4.56534, 5.20905, 4.75939, 
3.71344, 3.53304, 4.15667, 5.40361, 5.56883, 4.0168, 3.74293, 4.93626, 5.55686, 4.68104, 
3.50158, 3.68005, 4.60071, 5.85177, 5.55778, 3.76591, 3.84264, 5.33, 5.81707, 4.46728, 
3.31841, 3.92891, 5.13926, 6.26182, 5.35274, 3.46798, 4.0201, 5.79579, 5.9855, 4.1001, 
3.22172, 4.23348, 5.67005, 6.52357, 4.99497, 3.22169, 4.24844, 6.24369, 6.00492, 3.6716, 
3.20688, 4.63752, 6.25786, 6.63528, 4.46095, 3.03014, 4.55937, 6.7248, 5.85633, 3.15789, 
3.28966, 5.15672, 6.8727, 6.51012, 3.77798, 2.93982, 4.96216, 7.20534, 5.48503, 2.60326, 
3.46995, 5.807, 7.45501, 6.05405, 3.01836, 2.98204, 5.46791, 7.62629, 4.84525, 2.07407, 
3.648, 6.34797, 7.79269, 5.49233, 2.4993, 3.0939, 5.89172, 7.84042, 4.22132, 1.76001, 
3.88452, 7.01661, 8.02836, 4.63184, 2.00958, 3.28503, 6.42264, 7.94487, 3.37729, 1.50824, 
